tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
28,2017 NHL Regular Season,2,33.0,268.0,234.0,80,New York Rangers,NYR,285,278,55.0,0.4125,2.925,3.35
29,2010 NHL Regular Season,2,37.5,199.0,172.0,80,New Jersey Devils,NJD,281,279,53.0,0.46875,2.15,2.4875
29,2013 NHL Regular Season,2,33.0,206.0,191.0,77,New Jersey Devils,NJD,277,245,48.0,0.42857142857142855,2.4805194805194803,2.675324675324675
29,2014 NHL Regular Season,2,32.0,221.0,187.0,82,New Jersey Devils,NJD,322,272,25.0,0.3902439024390244,2.2804878048780486,2.6951219512195124
29,2015 NHL Regular Season,2,38.0,211.0,189.0,81,New Jersey Devils,NJD,325,316,43.0,0.4691358024691358,2.3333333333333335,2.6049382716049383
29,2016 NHL Regular Season,2,28.0,245.0,186.0,82,New Jersey Devils,NJD,328,318,53.0,0.34146341463414637,2.268292682926829,2.9878048780487805
29,2017 NHL Regular Season,2,42.5,242.0,240.0,80,New Jersey Devils,NJD,294,289,52.0,0.53125,3.0,3.025
32,2010 NHL Regular Season,2,31.0,251.0,188.0,81,Ottawa Senators,OTT,394,352,64.0,0.38271604938271603,2.3209876543209877,3.0987654320987654
32,2013 NHL Regular Season,2,35.5,271.0,238.0,81,Ottawa Senators,OTT,423,372,65.0,0.4382716049382716,2.9382716049382718,3.345679012345679
32,2014 NHL Regular Season,2,42.0,222.0,243.0,81,Ottawa Senators,OTT,334,355,55.0,0.5185185185185185,3.0,2.740740740740741
32,2015 NHL Regular Season,2,37.0,254.0,239.0,81,Ottawa Senators,OTT,335,324,51.0,0.4567901234567901,2.950617283950617,3.1358024691358026
32,2016 NHL Regular Season,2,43.0,207.0,203.0,80,Ottawa Senators,OTT,334,343,51.0,0.5375,2.5375,2.5875
32,2017 NHL Regular Season,2,25.5,295.0,220.0,80,Ottawa Senators,OTT,276,287,46.0,0.31875,2.75,3.6875
35,2010 NHL Regular Season,2,38.0,237.0,208.0,80,Minnesota Wild,MIN,375,359,72.0,0.475,2.6,2.9625
35,2013 NHL Regular Season,2,43.0,215.0,216.0,82,Minnesota Wild,MIN,320,322,61.0,0.524390243902439,2.6341463414634148,2.6219512195121952
35,2014 NHL Regular Season,2,46.5,207.0,237.0,82,Minnesota Wild,MIN,297,313,53.0,0.5670731707317073,2.8902439024390243,2.524390243902439
35,2015 NHL Regular Season,2,38.0,202.0,215.0,80,Minnesota Wild,MIN,245,298,56.0,0.475,2.6875,2.525
35,2016 NHL Regular Season,2,49.0,213.0,271.0,82,Minnesota Wild,MIN,275,282,50.0,0.5975609756097561,3.3048780487804876,2.597560975609756
35,2017 NHL Regular Season,2,43.0,230.0,248.0,79,Minnesota Wild,MIN,300,270,51.0,0.5443037974683544,3.1392405063291138,2.911392405063291
41,2010 NHL Regular Season,2,46.0,202.0,223.0,81,Los Angeles Kings,LAK,354,366,77.0,0.5679012345679012,2.753086419753086,2.493827160493827
41,2013 NHL Regular Season,2,45.0,175.0,207.0,80,Los Angeles Kings,LAK,361,355,59.0,0.5625,2.5875,2.1875
41,2014 NHL Regular Season,2,39.5,202.0,219.0,80,Los Angeles Kings,LAK,301,306,54.0,0.49375,2.7375,2.525
41,2015 NHL Regular Season,2,47.5,196.0,225.0,81,Los Angeles Kings,LAK,345,298,49.0,0.5864197530864198,2.7777777777777777,2.419753086419753
41,2016 NHL Regular Season,2,37.5,204.0,197.0,80,Los Angeles Kings,LAK,292,293,52.0,0.46875,2.4625,2.55
41,2017 NHL Regular Season,2,45.0,205.0,242.0,82,Los Angeles Kings,LAK,313,289,53.0,0.5487804878048781,2.951219512195122,2.5
43,2014 NHL Regular Season,2,23.0,274.0,169.0,81,Arizona Coyotes,ARI,330,288,52.0,0.2839506172839506,2.0864197530864197,3.382716049382716
43,2015 NHL Regular Season,2,35.0,235.0,204.0,80,Arizona Coyotes,ARI,378,364,55.0,0.4375,2.55,2.9375
43,2016 NHL Regular Season,2,29.5,245.0,191.0,78,Arizona Coyotes,ARI,321,284,27.0,0.3782051282051282,2.448717948717949,3.141025641025641
43,2017 NHL Regular Season,2,28.0,251.0,204.0,79,Arizona Coyotes,ARI,263,291,47.0,0.35443037974683544,2.5822784810126582,3.1772151898734178
45,2010 NHL Regular Season,2,30.0,232.0,198.0,81,Florida Panthers,FLA,304,306,48.0,0.37037037037037035,2.4444444444444446,2.8641975308641974
45,2013 NHL Regular Season,2,28.0,273.0,199.0,80,Florida Panthers,FLA,320,323,39.0,0.35,2.4875,3.4125
45,2014 NHL Regular Season,2,36.5,236.0,212.0,81,Florida Panthers,FLA,320,315,42.0,0.4506172839506173,2.617283950617284,2.9135802469135803
45,2015 NHL Regular Season,2,44.5,205.0,240.0,79,Florida Panthers,FLA,338,343,58.0,0.5632911392405063,3.037974683544304,2.5949367088607596
45,2016 NHL Regular Season,2,32.5,232.0,206.0,79,Florida Panthers,FLA,327,340,46.0,0.41139240506329117,2.607594936708861,2.9367088607594938
45,2017 NHL Regular Season,2,40.5,240.0,237.0,78,Florida Panthers,FLA,307,328,55.0,0.5192307692307693,3.0384615384615383,3.076923076923077
46,2010 NHL Regular Season,2,42.5,234.0,237.0,81,Dallas Stars,DAL,382,416,72.0,0.5246913580246914,2.925925925925926,2.888888888888889
46,2013 NHL Regular Season,2,40.0,232.0,238.0,82,Dallas Stars,DAL,350,369,58.0,0.4878048780487805,2.902439024390244,2.8292682926829267
46,2014 NHL Regular Season,2,38.0,250.0,251.0,77,Dallas Stars,DAL,302,331,58.0,0.4935064935064935,3.25974025974026,3.2467532467532467
46,2015 NHL Regular Season,2,48.0,235.0,264.0,80,Dallas Stars,DAL,301,308,66.0,0.6,3.3,2.9375
46,2016 NHL Regular Season,2,33.5,265.0,225.0,82,Dallas Stars,DAL,312,320,56.0,0.40853658536585363,2.7439024390243905,3.231707317073171
46,2017 NHL Regular Season,2,39.0,223.0,226.0,79,Dallas Stars,DAL,323,304,56.0,0.4936708860759494,2.8607594936708862,2.8227848101265822
50,2010 NHL Regular Season,2,42.0,225.0,230.0,79,Phoenix Coyotes,PHX,350,339,71.0,0.5316455696202531,2.911392405063291,2.848101265822785
50,2013 NHL Regular Season,2,37.0,240.0,226.0,82,Phoenix Coyotes,PHX,339,349,68.0,0.45121951219512196,2.7560975609756095,2.926829268292683
51,2010 NHL Regular Season,2,29.0,271.0,231.0,81,New York Islanders,NYI,449,430,78.0,0.35802469135802467,2.8518518518518516,3.345679012345679
51,2013 NHL Regular Season,2,30.0,264.0,223.0,77,New York Islanders,NYI,341,356,53.0,0.38961038961038963,2.896103896103896,3.4285714285714284
51,2014 NHL Regular Season,2,46.0,236.0,258.0,81,New York Islanders,NYI,281,326,58.0,0.5679012345679012,3.185185185185185,2.9135802469135803
51,2015 NHL Regular Season,2,41.5,215.0,224.0,79,New York Islanders,NYI,287,286,49.0,0.5253164556962026,2.8354430379746836,2.721518987341772
51,2016 NHL Regular Season,2,40.5,238.0,235.0,79,New York Islanders,NYI,267,269,32.0,0.5126582278481012,2.9746835443037973,3.0126582278481013
51,2017 NHL Regular Season,2,34.5,293.0,261.0,81,New York Islanders,NYI,273,282,62.0,0.42592592592592593,3.2222222222222223,3.617283950617284
52,2010 NHL Regular Season,2,33.5,260.0,221.0,81,Columbus Blue Jackets,CBJ,423,416,45.0,0.41358024691358025,2.728395061728395,3.2098765432098766
52,2013 NHL Regular Season,2,42.0,218.0,232.0,81,Columbus Blue Jackets,CBJ,360,353,47.0,0.5185185185185185,2.8641975308641974,2.691358024691358
52,2014 NHL Regular Season,2,41.0,251.0,238.0,80,Columbus Blue Jackets,CBJ,380,329,59.0,0.5125,2.975,3.1375
52,2015 NHL Regular Season,2,32.0,242.0,211.0,77,Columbus Blue Jackets,CBJ,356,319,48.0,0.4155844155844156,2.74025974025974,3.142857142857143
52,2016 NHL Regular Season,2,47.5,188.0,240.0,80,Columbus Blue Jackets,CBJ,287,284,59.0,0.59375,3.0,2.35
52,2017 NHL Regular Season,2,44.0,232.0,242.0,81,Columbus Blue Jackets,CBJ,246,268,45.0,0.5432098765432098,2.9876543209876543,2.8641975308641974
53,2010 NHL Regular Season,2,53.0,182.0,263.0,80,Vancouver Canucks,VAN,372,362,97.0,0.6625,3.2875,2.275
53,2013 NHL Regular Season,2,34.0,216.0,191.0,78,Vancouver Canucks,VAN,362,332,57.0,0.4358974358974359,2.448717948717949,2.769230769230769
53,2014 NHL Regular Season,2,48.5,215.0,243.0,80,Vancouver Canucks,VAN,351,316,52.0,0.60625,3.0375,2.6875
53,2015 NHL Regular Season,2,31.0,238.0,191.0,80,Vancouver Canucks,VAN,316,304,38.0,0.3875,2.3875,2.975
53,2016 NHL Regular Season,2,29.0,238.0,178.0,80,Vancouver Canucks,VAN,255,259,36.0,0.3625,2.225,2.975
53,2017 NHL Regular Season,2,30.0,268.0,219.0,81,Vancouver Canucks,VAN,299,272,63.0,0.37037037037037035,2.7037037037037037,3.308641975308642
59,2017 NHL Regular Season,2,50.5,223.0,269.0,81,Vegas Golden Knights,VGK,257,273,64.0,0.6234567901234568,3.3209876543209877,2.753086419753086
66,2010 NHL Regular Season,2,40.0,242.0,239.0,82,Carolina Hurricanes,CAR,338,427,79.0,0.4878048780487805,2.9146341463414633,2.951219512195122
66,2013 NHL Regular Season,2,35.0,227.0,203.0,80,Carolina Hurricanes,CAR,286,323,51.0,0.4375,2.5375,2.8375
66,2014 NHL Regular Season,2,30.0,228.0,191.0,82,Carolina Hurricanes,CAR,239,289,55.0,0.36585365853658536,2.3292682926829267,2.7804878048780486
66,2015 NHL Regular Season,2,34.0,226.0,195.0,81,Carolina Hurricanes,CAR,247,281,48.0,0.41975308641975306,2.4074074074074074,2.7901234567901234
66,2016 NHL Regular Season,2,35.5,243.0,219.0,82,Carolina Hurricanes,CAR,224,258,57.0,0.4329268292682927,2.6707317073170733,2.9634146341463414
66,2017 NHL Regular Season,2,35.5,248.0,227.0,80,Carolina Hurricanes,CAR,218,255,51.0,0.44375,2.8375,3.1
11366,2010 NHL Regular Season,2,34.0,263.0,223.0,79,Atlanta Thrashers,ATL,338,341,35.0,0.43037974683544306,2.8227848101265822,3.329113924050633
