tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
8,2015 NHL Regular Season,2,46.5,204.0,245.0,81,Pittsburgh Penguins,PIT,313,320,42.0,0.5740740740740741,3.0246913580246915,2.5185185185185186
8,2016 NHL Playoff,3,16.5,47.0,74.0,23,Pittsburgh Penguins,PIT,97,105,8.0,0.717391304347826,3.217391304347826,2.0434782608695654
8,2016 NHL Regular Season,2,47.5,227.0,270.0,79,Pittsburgh Penguins,PIT,294,298,32.0,0.6012658227848101,3.4177215189873418,2.8734177215189876
8,2017 NHL Playoff,3,6.0,34.0,42.0,12,Pittsburgh Penguins,PIT,49,58,10.0,0.5,3.5,2.8333333333333335
8,2017 NHL Regular Season,2,46.0,249.0,271.0,82,Pittsburgh Penguins,PIT,326,317,47.0,0.5609756097560976,3.3048780487804876,3.0365853658536586
10,2010 NHL Regular Season,2,25.0,267.0,194.0,80,Edmonton Oilers,EDM,425,404,63.0,0.3125,2.425,3.3375
10,2011 NHL Regular Season,2,16.0,120.0,115.0,40,Edmonton Oilers,EDM,205,198,46.0,0.4,2.875,3.0
10,2012 NHL Regular Season,2,19.0,133.0,126.0,47,Edmonton Oilers,EDM,211,206,45.0,0.40425531914893614,2.6808510638297873,2.8297872340425534
10,2013 NHL Regular Season,2,27.5,269.0,201.0,80,Edmonton Oilers,EDM,370,365,54.0,0.34375,2.5125,3.3625
10,2014 NHL Regular Season,2,23.5,283.0,198.0,80,Edmonton Oilers,EDM,267,277,45.0,0.29375,2.475,3.5375
10,2015 NHL Regular Season,2,30.0,245.0,203.0,80,Edmonton Oilers,EDM,314,298,47.0,0.375,2.5375,3.0625
10,2016 NHL Playoff,3,6.5,35.0,35.0,13,Edmonton Oilers,EDM,58,52,8.0,0.5,2.6923076923076925,2.6923076923076925
10,2016 NHL Regular Season,2,46.0,211.0,245.0,80,Edmonton Oilers,EDM,289,310,55.0,0.575,3.0625,2.6375
10,2017 NHL Regular Season,2,35.0,263.0,231.0,80,Edmonton Oilers,EDM,289,255,28.0,0.4375,2.8875,3.2875
11,2010 NHL Regular Season,2,40.5,241.0,250.0,80,Calgary Flames,CGY,343,374,90.0,0.50625,3.125,3.0125
11,2011 NHL Regular Season,2,17.0,122.0,97.0,41,Calgary Flames,CGY,179,172,30.0,0.4146341463414634,2.3658536585365852,2.975609756097561
11,2012 NHL Regular Season,2,19.0,161.0,130.0,48,Calgary Flames,CGY,194,194,21.0,0.3958333333333333,2.7083333333333335,3.3541666666666665
11,2013 NHL Regular Season,2,34.5,241.0,211.0,80,Calgary Flames,CGY,300,311,28.0,0.43125,2.6375,3.0125
11,2014 NHL Playoff,3,5.0,33.0,27.0,11,Calgary Flames,CGY,51,53,7.0,0.45454545454545453,2.4545454545454546,3.0
11,2014 NHL Regular Season,2,42.5,217.0,236.0,80,Calgary Flames,CGY,247,311,58.0,0.53125,2.95,2.7125
11,2015 NHL Regular Season,2,30.5,238.0,208.0,75,Calgary Flames,CGY,262,301,47.0,0.4066666666666667,2.7733333333333334,3.1733333333333333
11,2016 NHL Playoff,3,0.0,14.0,9.0,4,Calgary Flames,CGY,16,20,6.0,0.0,2.25,3.5
11,2016 NHL Regular Season,2,44.5,217.0,223.0,81,Calgary Flames,CGY,363,337,58.0,0.5493827160493827,2.753086419753086,2.6790123456790123
11,2017 NHL Regular Season,2,37.0,255.0,223.0,82,Calgary Flames,CGY,353,350,47.0,0.45121951219512196,2.7195121951219514,3.1097560975609757
14,2010 NHL Playoff,3,4.0,36.0,29.0,11,Philadelphia Flyers,PHI,70,69,5.0,0.36363636363636365,2.6363636363636362,3.272727272727273
14,2010 NHL Regular Season,2,44.0,222.0,252.0,77,Philadelphia Flyers,PHI,379,369,42.0,0.5714285714285714,3.272727272727273,2.883116883116883
14,2011 NHL Playoff,3,5.0,44.0,41.0,11,Philadelphia Flyers,PHI,68,58,11.0,0.45454545454545453,3.727272727272727,4.0
14,2011 NHL Regular Season,2,22.0,114.0,129.0,37,Philadelphia Flyers,PHI,223,230,22.0,0.5945945945945946,3.4864864864864864,3.081081081081081
14,2012 NHL Regular Season,2,22.5,134.0,128.0,46,Philadelphia Flyers,PHI,250,239,27.0,0.4891304347826087,2.782608695652174,2.9130434782608696
14,2013 NHL Playoff,3,3.0,19.0,16.0,7,Philadelphia Flyers,PHI,37,28,6.0,0.42857142857142855,2.2857142857142856,2.7142857142857144
14,2013 NHL Regular Season,2,42.0,238.0,239.0,81,Philadelphia Flyers,PHI,409,383,75.0,0.5185185185185185,2.950617283950617,2.9382716049382718
